model,split,accuracy,precision,recall,f1
Logistic Regression,70/30 split,0.8563352951553154,0.7182277754475817,0.8632721290596477,0.7840987142564498
Logistic Regression,80/20 split,0.8458198525432087,0.7252727049883564,0.8600079933146823,0.786914676108313
Random Forest,70/30 split,0.8432413361771733,0.664091336759065,0.9738643600084907,0.7896854425749817
Random Forest,80/20 split,0.8444366934077433,0.6934316247248813,0.9501144497329507,0.8017291596406781
XGBoost,70/30 split,0.8188334910274708,0.6254821761106677,0.9981691785183613,0.7690530705699566
XGBoost,80/20 split,0.8050707816653236,0.6301048565121413,0.9956036769247538,0.7717677542915886
